"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Angular gyrus AnG scvi"	0.97452358141287	0.0108695141088656	Inf	1	-2.31372836259173	0.725169133646567
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Anterior cingulate cortex ACC scvi"	1.13445644457921	0.0126748732554596	Inf	1	11.2913004190502	2.66453525910038e-14
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.69654703499099	0.037127566384424	Inf	1	72.0461809886457	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary auditory cortexA1 scvi"	0.936585467748128	0.0104580638282255	Inf	1	-5.86723585344354	8.34532649207631e-07
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary somatosensory cortex S1 scvi"	0.91313383294678	0.0102428512127523	Inf	1	-8.10116711088835	3.50053319664312e-13
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary visual cortexV1 scvi"	1.28496969175748	0.0143764473871132	Inf	1	22.4107553458442	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Human Multiple Cortical Areas SMART-seq scvi)"	2.42230000085716	0.0264483573404616	Inf	1	81.0277621104467	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / whole cortex scvi"	0.840364565192308	0.00945808891010397	Inf	1	-15.4529911353393	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.950881389041632	0.0131818002928182	Inf	1	-3.63319426557762	0.0371185928596044
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.91512010341396	0.0103124662298109	Inf	1	-7.87116450795285	9.57012247226885e-13
"Dissection Angular gyrus AnG scvi / Dissection Anterior cingulate cortex ACC scvi"	1.1641138975154	0.0114805751139929	Inf	1	15.4085464074257	0
"Dissection Angular gyrus AnG scvi / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.76704133837533	0.0348937504180403	Inf	1	80.7088816125889	0
"Dissection Angular gyrus AnG scvi / Dissection Primary auditory cortexA1 scvi"	0.96107009169574	0.00948250567465017	Inf	1	-4.02447532831433	0.00879450972698659
"Dissection Angular gyrus AnG scvi / Dissection Primary somatosensory cortex S1 scvi"	0.937005374075108	0.00929346166314303	Inf	1	-6.56025050406469	1.01862634993566e-08
"Dissection Angular gyrus AnG scvi / Dissection Primary visual cortexV1 scvi"	1.31856192735175	0.01299096335949	Inf	1	28.0685379984877	0
"Dissection Angular gyrus AnG scvi / (Human Multiple Cortical Areas SMART-seq scvi)"	2.4856248192017	0.0237360932976688	Inf	1	95.3493561125849	0
"Dissection Angular gyrus AnG scvi / whole cortex scvi"	0.8623337405278	0.00859567645302701	Inf	1	-14.8589541745785	0
"Dissection Angular gyrus AnG scvi / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.975739743170749	0.012436045552695	Inf	1	-1.92694435166492	0.929725234000216
"Dissection Angular gyrus AnG scvi / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.939043570487246	0.0093311783958259	Inf	1	-6.32928021542744	4.66437921620155e-08
"Dissection Anterior cingulate cortex ACC scvi / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.37695069552996	0.0296376147747984	Inf	1	69.4390480715607	0
"Dissection Anterior cingulate cortex ACC scvi / Dissection Primary auditory cortexA1 scvi"	0.825580807640021	0.0081668029173444	Inf	1	-19.3757008784952	0
"Dissection Anterior cingulate cortex ACC scvi / Dissection Primary somatosensory cortex S1 scvi"	0.804908674378839	0.00800384099248631	Inf	1	-21.8253307566544	0
