study	key	metric	mean	std
GSE199460.2	class	macro_recall	0.9044897959183673	0.06291807277496636
GSE199460.2	class	micro_f1	0.9044897959183673	0.06291807277496636
GSE199460.2	class	micro_precision	0.9044897959183673	0.06291807277496636
GSE199460.2	class	micro_recall	0.9044897959183673	0.06291807277496636
GSE199460.2	class	overall_accuracy	0.9044897959183673	0.06291807277496636
GSE199460.2	class	weighted_f1	0.9492765861622473	0.034712442334891166
GSE199460.2	class	weighted_precision	1.0	0.0
GSE199460.2	class	weighted_recall	0.9044897959183673	0.06291807277496636
GSE199460.2	family	macro_f1	0.9492765861622473	0.034712442334891166
GSE199460.2	family	macro_precision	1.0	0.0
GSE199460.2	family	macro_recall	0.9044897959183673	0.06291807277496636
GSE199460.2	family	micro_f1	0.9044897959183673	0.06291807277496636
GSE199460.2	family	micro_precision	0.9044897959183673	0.06291807277496636
GSE199460.2	family	micro_recall	0.9044897959183673	0.06291807277496636
GSE199460.2	family	overall_accuracy	0.9044897959183673	0.06291807277496636
GSE199460.2	family	weighted_f1	0.9492765861622473	0.034712442334891166
GSE199460.2	family	weighted_precision	1.0	0.0
GSE199460.2	family	weighted_recall	0.9044897959183673	0.06291807277496636
GSE199460.2	global	macro_f1	0.9872311476267727	0.003478362940579731
GSE199460.2	global	macro_precision	1.0	0.0
GSE199460.2	global	macro_recall	0.9747959183673469	0.006782452799136393
GSE199460.2	global	micro_f1	0.9747959183673469	0.006782452799136393
GSE199460.2	global	micro_precision	0.9747959183673469	0.006782452799136393
GSE199460.2	global	micro_recall	0.9747959183673469	0.006782452799136393
GSE199460.2	global	overall_accuracy	0.9747959183673469	0.006782452799136393
GSE199460.2	global	weighted_f1	0.9872311476267726	0.003478362940579574
GSE199460.2	global	weighted_precision	1.0	0.0
GSE199460.2	global	weighted_recall	0.9747959183673469	0.006782452799136393
GSE199460.2	subclass	macro_f1	0.9407322654462242	0.03915785836319097
GSE199460.2	subclass	macro_precision	1.0	0.0
GSE199460.2	subclass	macro_recall	0.8893877551020408	0.06984483308046707
GSE199460.2	subclass	micro_f1	0.8893877551020408	0.06984483308046707
GSE199460.2	subclass	micro_precision	0.8893877551020408	0.06984483308046707
GSE199460.2	subclass	micro_recall	0.8893877551020408	0.06984483308046707
GSE199460.2	subclass	overall_accuracy	0.8893877551020408	0.06984483308046707
GSE199460.2	subclass	weighted_f1	0.9407322654462242	0.03915785836319097
GSE199460.2	subclass	weighted_precision	1.0	0.0
GSE199460.2	subclass	weighted_recall	0.8893877551020408	0.06984483308046707
GSE214244.1	class	macro_f1	0.687628394190522	0.010036414290818974
GSE214244.1	class	macro_precision	0.9363725490196079	0.022112353350640317
GSE214244.1	class	macro_recall	0.7120600414078675	0.0019415113181688495
GSE214244.1	class	micro_f1	0.8833333333333333	0.023094010767585067
GSE214244.1	class	micro_precision	0.8833333333333333	0.023094010767585067
GSE214244.1	class	micro_recall	0.8833333333333333	0.023094010767585067
GSE214244.1	class	overall_accuracy	0.8833333333333333	0.023094010767585067
GSE214244.1	class	weighted_f1	0.8663739777316014	0.020194155181338522
GSE214244.1	class	weighted_precision	0.9598510403888966	0.01097503306667616
GSE214244.1	class	weighted_recall	0.8833333333333333	0.023094010767585067
GSE214244.1	family	macro_f1	0.8304855370476648	0.010036414290818967
GSE214244.1	family	macro_precision	0.9469771241830066	0.0184269611255337
GSE214244.1	family	macro_recall	0.8549171842650103	0.0019415113181688556
GSE214244.1	family	micro_f1	0.9533333333333333	0.015275252316519468
GSE214244.1	family	micro_precision	0.9533333333333333	0.015275252316519468
