key	study	reference	method	macro_f1_mean	cutoff	subsample_ref
family	GSE181021.2	whole cortex	scvi_knn	0.8792	0.0	100
family	GSE181021.2	whole cortex	scvi_rf	0.853	0.0	100
family	GSE181021.2	whole cortex	seurat	0.8115	0.0	100
family	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.9798	0.0	100
family	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.9566	0.0	100
family	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.8032	0.0	100
family	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9809	0.0	100
family	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9846	0.0	100
family	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.976	0.0	100
family	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.9706	0.0	100
family	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.9017	0.0	100
family	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.9863	0.0	100
family	GSE185454	whole cortex	scvi_knn	0.8549	0.0	100
family	GSE185454	whole cortex	scvi_rf	0.8556	0.0	100
family	GSE185454	whole cortex	seurat	0.8378	0.0	100
family	GSE199460.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.9577	0.0	100
family	GSE199460.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.9522	0.0	100
family	GSE199460.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9548	0.0	100
family	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9519	0.0	100
family	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.955	0.0	100
family	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9548	0.0	100
family	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.9464	0.0	100
family	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.9631	0.0	100
family	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.934	0.0	100
family	GSE199460.2	whole cortex	scvi_knn	0.9522	0.0	100
family	GSE199460.2	whole cortex	scvi_rf	0.9467	0.0	100
family	GSE199460.2	whole cortex	seurat	0.9522	0.0	100
family	GSE214244.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.9642	0.0	100
family	GSE214244.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.9691	0.0	100
family	GSE214244.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9748	0.0	100
family	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9725	0.0	100
family	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.966	0.0	100
family	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9768	0.0	100
family	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.8934	0.0	100
family	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8807	0.0	100
