"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	0.565310786485565	0.00959297357612968	Inf	1	-33.6122847842473	0	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.931365751730436	0.025024384633725	Inf	1	-2.64634294819204	0.139546995621557	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	2.11620675345826	0.0541898167873268	Inf	1	29.2741707691297	0	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.39140953823676	0.035330344876601	Inf	1	13.0088350121532	0	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.687039157399497	0.0203177059416333	Inf	1	-12.6928581720277	0	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.91310832125778	0.0264056486237331	Inf	1	-3.14335177153277	0.0356627093750885	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.41572159477696	0.0402866465910098	Inf	1	12.2164685755796	0	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.692542820769803	0.0202134970511358	Inf	1	-12.5871336100507	0	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	2.27215435990259	0.0599655209938546	Inf	1	31.0982322719016	0	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.49394535460594	0.0394013620846653	Inf	1	15.2202937574002	0	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.737668478922495	0.0228723926334854	Inf	1	-9.81285970530722	8.22675261247241e-14	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.980397142112285	0.0297508913709708	Inf	1	-0.652399072795945	0.998093599060639	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.52004901634681	0.0454073620736351	Inf	1	14.0177544060006	0	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.743577718509715	0.0227694595906545	Inf	1	-9.67562202105918	9.86988268891764e-14	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	0.657501700135369	0.0164467260378157	Inf	1	-16.762951828819	0	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.324655970536316	0.00972944777548759	Inf	1	-37.5390743734358	0	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.431483511601878	0.0125803555645285	Inf	1	-28.8285255544485	0	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.668990207343123	0.0191142388630663	Inf	1	-14.0693335245424	0	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.327256691548718	0.00967658484358755	Inf	1	-37.7766683739664	0	"global"
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.493772062444058	0.0144087523624371	Inf	1	-24.1829196903336	0	"global"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.656246989951574	0.0186858928009944	Inf	1	-14.7931426969446	0	"global"
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.01747296958379	0.0284562184928094	Inf	1	0.619363409507034	0.998634816732262	"global"
"whole cortex seurat / whole cortex scvi"	0.497727521436585	0.0143303335445097	Inf	1	-24.2329136063302	0	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.3290484413057	0.0342317013635061	Inf	1	11.0443067506657	4.61852778244065e-14	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	2.06061267327992	0.052468277705797	Inf	1	28.3948689901654	0	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	1.00801069824191	0.0259381950857167	Inf	1	0.310071634664051	0.999986774725789	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.5504421127461	0.038383606195078	Inf	1	17.7141009985246	0	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	0.758445416219453	0.0191404959122628	Inf	1	-10.9557433290325	7.46069872548105e-14	"global"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	0.489180092558319	0.0122007883594969	Inf	1	-28.6682937990066	0	"global"
