"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Primary somatosensory cortex S1 seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.28359140346266	0.022418078588462	Inf	1	84.1139966384164	0
"Dissection Primary somatosensory cortex S1 seurat / whole cortex scvi"	0.79302462229891	0.0082754095957155	Inf	1	-22.2228528230065	0
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.959881134343264	0.0120756237461742	Inf	1	-3.25474870118108	0.120173677098903
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.785086440858344	0.00813039980825472	Inf	1	-23.3642452127672	0
"Dissection Primary visual cortexV1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	2.96316904705845	0.0270317918400666	Inf	1	119.073497312322	0
"Dissection Primary visual cortexV1 seurat / whole cortex seurat"	0.879696781972234	0.00874885352363266	Inf	1	-12.8882911370941	0
"Dissection Primary visual cortexV1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.00435966138662	0.012433160917795	Inf	1	0.35141111410162	1
"Dissection Primary visual cortexV1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.867933166616257	0.00868202293468795	Inf	1	-14.1596658284344	0
"Dissection Primary visual cortexV1 seurat / Dissection Angular gyrus AnG scvi"	0.63541312640015	0.00636824208654272	Inf	1	-45.2475073009523	0
"Dissection Primary visual cortexV1 seurat / Dissection Anterior cingulate cortex ACC scvi"	0.775213932416506	0.00772994857988409	Inf	1	-25.5347185296861	0
"Dissection Primary visual cortexV1 seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.7109469086432	0.0203176262049752	Inf	1	45.2247145059471	0
"Dissection Primary visual cortexV1 seurat / Dissection Primary auditory cortexA1 scvi"	0.670936438289047	0.00674098070805648	Inf	1	-39.720911740265	0
"Dissection Primary visual cortexV1 seurat / Dissection Primary somatosensory cortex S1 scvi"	0.653947806464018	0.00660944638797191	Inf	1	-42.0231522995806	0
"Dissection Primary visual cortexV1 seurat / Dissection Primary visual cortexV1 scvi"	0.875764581597753	0.00867591953976764	Inf	1	-13.3907591132423	0
"Dissection Primary visual cortexV1 seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.7003662520579	0.0161808108375281	Inf	1	55.7838955702598	0
"Dissection Primary visual cortexV1 seurat / whole cortex scvi"	0.590487555156921	0.00601740880583943	Inf	1	-51.6954758068718	0
"Dissection Primary visual cortexV1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.714729213093672	0.00881563938061064	Inf	1	-27.2292105065912	0
"Dissection Primary visual cortexV1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.584576771028121	0.00591013161063785	Inf	1	-53.1020445321709	0
"(Human Multiple Cortical Areas SMART-seq seurat) / whole cortex seurat"	0.296877015115123	0.00274245666425912	Inf	1	-131.465532438043	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.338947810751349	0.00395603845413396	Inf	1	-92.6964529455724	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.292907071055517	0.00272440792935753	Inf	1	-132.014209277712	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Angular gyrus AnG scvi"	0.214437015340359	0.00199491266442939	Inf	1	-165.50954250132	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Anterior cingulate cortex ACC scvi"	0.261616505877741	0.00241066167418802	Inf	1	-145.518213536985	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Dorsolateral prefrontal cortex DFC scvi"	0.577404421236671	0.00639804580443234	Inf	1	-49.5647657828156	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Primary auditory cortexA1 scvi"	0.226425299277167	0.00210969349150353	Inf	1	-159.415857837472	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Primary somatosensory cortex S1 scvi"	0.220692034804155	0.00207083113847441	Inf	1	-161.028488499405	0
"(Human Multiple Cortical Areas SMART-seq seurat) / Dissection Primary visual cortexV1 scvi"	0.295549989787835	0.00270006178490561	Inf	1	-133.423239987223	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Human Multiple Cortical Areas SMART-seq scvi)"	0.57383369799501	0.00496307269864257	Inf	1	-64.2175191388871	0
"(Human Multiple Cortical Areas SMART-seq seurat) / whole cortex scvi"	0.199275689567256	0.00188945256976302	Inf	1	-170.125914903951	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.241204332841958	0.00280118685498744	Inf	1	-122.45498665529	0
"(Human Multiple Cortical Areas SMART-seq seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.197280938665458	0.00185381617533015	Inf	1	-172.731212572417	0
"whole cortex seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.14171119182101	0.0142219850222035	Inf	1	10.6390851112047	1.9328982858724e-13
"whole cortex seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.986627647620123	0.0099335624126168	Inf	1	-1.33713774550708	0.998883711242724
"whole cortex seurat / Dissection Angular gyrus AnG scvi"	0.722309254076828	0.00728125706367162	Inf	1	-32.2703308185404	0
"whole cortex seurat / Dissection Anterior cingulate cortex ACC scvi"	0.881228564549841	0.00884608591467734	Inf	1	-12.5955137451531	0
"whole cortex seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.94492800667901	0.0232570374607736	Inf	1	55.6311035391559	0
"whole cortex seurat / Dissection Primary auditory cortexA1 scvi"	0.762690567975982	0.00771060668803942	Inf	1	-26.7962142426445	0
"whole cortex seurat / Dissection Primary somatosensory cortex S1 scvi"	0.743378650309373	0.00755941464269236	Inf	1	-29.1621449902802	0
"whole cortex seurat / Dissection Primary visual cortexV1 scvi"	0.995530050291118	0.00993182229552	Inf	1	-0.449056017350199	0.999999999985238
"whole cortex seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.93290038897922	0.0185570055240671	Inf	1	68.6437925007221	0
"whole cortex seurat / whole cortex scvi"	0.671239871803417	0.00688083442090207	Inf	1	-38.8870703425352	0
"whole cortex seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.812472237867332	0.0100803880665663	Inf	1	-16.7383418093514	0
"whole cortex seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.664520756478762	0.00675791638794365	Inf	1	-40.1873029427618	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.864165696796291	0.0108138989576175	Inf	1	-11.6664857493208	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Angular gyrus AnG scvi"	0.632654964978279	0.0079142818624665	Inf	1	-36.5982007073226	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Anterior cingulate cortex ACC scvi"	0.771848932429487	0.00952219575174292	Inf	1	-20.9912680740674	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.70352013767763	0.0165648029285203	Inf	1	54.7824018737785	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary auditory cortexA1 scvi"	0.668024079504298	0.00836199864224724	Inf	1	-32.2293357506178	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary somatosensory cortex S1 scvi"	0.651109190866124	0.00817795224047921	Inf	1	-34.1621681081487	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary visual cortexV1 scvi"	0.871963117663118	0.0108020556341831	Inf	1	-11.059566771885	1.06581410364015e-13
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Human Multiple Cortical Areas SMART-seq scvi)"	1.69298540894242	0.0203887472083771	Inf	1	43.7175358695507	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / whole cortex scvi"	0.587924403835267	0.00742758298465124	Inf	1	-42.0433008856636	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.711626761380394	0.00735350461650648	Inf	1	-32.922621035587	0
"(Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.582039276867265	0.00731969035283216	Inf	1	-43.0359398257792	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Angular gyrus AnG scvi"	0.732099141777684	0.00743162932794094	Inf	1	-30.7196846293803	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Anterior cingulate cortex ACC scvi"	0.893172380355933	0.00903085766771498	Inf	1	-11.1735520798804	5.32907051820075e-14
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.97128877481838	0.0237137911543072	Inf	1	56.4181871786115	0
